Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   191174    0.903    0.000    1.935    0.000 data.py:1074(readline)
    58664    0.579    0.000    1.641    0.000 data.py:1263(tell)
   198435    0.526    0.000    0.526    0.000 {method 'tell' of '_io.BufferedReader' objects}
     1338    0.468    0.000    2.184    0.002 cmudict.py:88(read_cmudict_block)
        1    0.302    0.302    2.671    2.671 util.py:134(__init__)
   133990    0.265    0.000    0.265    0.000 {method 'split' of 'str' objects}
    77721    0.205    0.000    0.443    0.000 data.py:1309(_read)
    56251    0.203    0.000    0.369    0.000 data.py:1224(_char_seek_forward)
     1919    0.193    0.000    0.193    0.000 {built-in method stat}
     2287    0.189    0.000    2.551    0.001 util.py:592(read_regexp_block)
1188708/1188036    0.164    0.000    0.164    0.000 {built-in method len}
        1    0.142    0.142    3.216    3.216 grammar_generator.py:2(<module>)
   190222    0.141    0.000    0.322    0.000 data.py:1345(_incr_decode)
    77944    0.134    0.000    0.134    0.000 {method 'splitlines' of 'str' objects}
   230916    0.129    0.000    0.129    0.000 {method 'seek' of '_io.BufferedReader' objects}
   192989    0.128    0.000    5.278    0.000 util.py:261(iterate_from)
   190223    0.118    0.000    0.118    0.000 {method 'read' of '_io.BufferedReader' objects}
   187456    0.100    0.000    0.100    0.000 {method 'pop' of 'list' objects}
   133795    0.087    0.000    0.087    0.000 {built-in method ascii_decode}
     4689    0.087    0.000    0.098    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   340731    0.085    0.000    0.085    0.000 {method 'append' of 'list' objects}
    62494    0.085    0.000    0.174    0.000 re.py:277(_compile)
      362    0.085    0.000    0.085    0.000 {built-in method loads}
    58541    0.075    0.000    0.161    0.000 {built-in method sum}
   165250    0.073    0.000    0.086    0.000 data.py:1283(<genexpr>)
     2288    0.069    0.000    0.069    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    57654    0.068    0.000    0.196    0.000 re.py:157(match)
    60422    0.055    0.000    0.055    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    56427    0.051    0.000    0.051    0.000 {built-in method utf_8_decode}
      362    0.046    0.000    0.070    0.000 <frozen importlib._bootstrap>:1621(get_data)
    56427    0.043    0.000    0.094    0.000 utf_8.py:15(decode)
1178/1175    0.040    0.000    0.090    0.000 {built-in method __build_class__}
    77916    0.040    0.000    0.040    0.000 {method 'endswith' of 'str' objects}
   134754    0.038    0.000    0.038    0.000 {method 'lower' of 'str' objects}
      794    0.036    0.000    0.036    0.000 {built-in method OpenKey}
    76709    0.034    0.000    0.034    0.000 {method 'startswith' of 'str' objects}
    62240    0.032    0.000    0.032    0.000 {method 'join' of 'str' objects}
    19/18    0.029    0.002    0.030    0.002 {built-in method load_dynamic}
    59140    0.027    0.000    2.978    0.000 util.py:380(iterate_from)
      362    0.024    0.000    0.024    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.024    0.024    2.694    2.694 cmudict.py:81(dict)
    383/1    0.022    0.000    6.715    6.715 {built-in method exec}
     5800    0.019    0.000    0.043    0.000 data.py:1191(seek)
      114    0.018    0.000    0.018    0.000 {built-in method open}
      220    0.017    0.000    0.017    0.000 {built-in method _isdir}
  487/178    0.016    0.000    0.046    0.000 sre_parse.py:441(_parse)
     2287    0.016    0.000    2.804    0.001 api.py:425(_read_tagged_sent_block)
